"id","Latitude","Longitude","1st_Road_Class","1st_Road_Number","2nd_Road_Class","2nd_Road_Number","Accident_Index","Accident_Severity","Carriageway_Hazards","Date","Day_of_Week","Did_Police_Officer_Attend_Scene_of_Accident","Junction_Control","Junction_Detail","LSOA_of_Accident_Location","Light_Conditions","Local_Authority_(District)","Local_Authority_(Highway)","Location_Easting_OSGR","Location_Northing_OSGR","Number_of_Casualties","Number_of_Vehicles","Pedestrian_Crossing-Human_Control","Pedestrian_Crossing-Physical_Facilities","Police_Force","Road_Surface_Conditions","Road_Type","Special_Conditions_at_Site","Speed_limit","Time","Urban_or_Rural_Area","Weather_Conditions"
2015950000003,55.899036,-3.186276,"B",701,,0,2015950000003,"Slight","None","01/01/2015","Thursday",1,"Data missing or out of range","Not at junction or within 20 metres","","Darkness - lights lit","Edinburgh, City of","Edinburgh, City of",325920,667960,1,1,"None within 50 metres ","No physical crossing facilities within 50 metres","Lothian and Borders","Dry","Dual carriageway","None",40,"03:30","Rural","Fine no high winds"
2015950000004,55.954437,-3.407743,"Unclassified",0,,0,2015950000004,"Slight","None","01/01/2015","Thursday",1,"Data missing or out of range","Not at junction or within 20 metres","","Darkness - lights lit","Edinburgh, City of","Edinburgh, City of",312198,674385,1,1,"None within 50 metres ","No physical crossing facilities within 50 metres","Lothian and Borders","Wet or damp","Single carriageway","None",30,"02:00","Rural","Fine no high winds"
2015950000006,55.943533,-3.117026,"A",1,"A",6106,2015950000006,"Slight","None","01/01/2015","Thursday",1,"Auto traffic signal","Crossroads","","Darkness - lights lit","Edinburgh, City of","Edinburgh, City of",330330,672840,6,3,"None within 50 metres ","Pedestrian phase at traffic signal junction","Lothian and Borders","Wet or damp","Single carriageway","None",30,"04:25","Urban","Fine no high winds"
2015950000007,55.949205,-3.183166,"Unclassified",0,"C",0,2015950000007,"Slight","None","01/01/2015","Thursday",1,"Auto traffic signal","Crossroads","","Darkness - lights lit","Edinburgh, City of","Edinburgh, City of",326210,673540,2,2,"None within 50 metres ","Pedestrian phase at traffic signal junction","Lothian and Borders","Dry","Single carriageway","None",30,"02:46","Urban","Fine no high winds"
2015950000009,55.943888,-3.203338,"A",702,"C",0,2015950000009,"Serious","None","31/12/2015","Thursday",1,"Auto traffic signal","More than 4 arms (not roundabout)","","Darkness - lights lit","Edinburgh, City of","Edinburgh, City of",324940,672970,1,1,"None within 50 metres ","Pedestrian phase at traffic signal junction","Lothian and Borders","Dry","Single carriageway","None",30,"17:25","Urban","Fine no high winds"
2015950000010,55.965503,-3.270014,"Unclassified",0,"Unclassified",0,2015950000010,"Slight","None","31/12/2015","Thursday",1,"Give way or uncontrolled","T or staggered junction","","Daylight","Edinburgh, City of","Edinburgh, City of",320820,675450,1,3,"None within 50 metres ","No physical crossing facilities within 50 metres","Lothian and Borders","Wet or damp","Single carriageway","None",30,"10:30","Urban","Fine no high winds"
2015950000013,55.945773,-3.184983,"A",7,,0,2015950000013,"Serious","None","03/01/2015","Saturday",1,"Data missing or out of range","Not at junction or within 20 metres","","Darkness - lights lit","Edinburgh, City of","Edinburgh, City of",326090,673160,1,1,"None within 50 metres ","No physical crossing facilities within 50 metres","Lothian and Borders","Dry","Single carriageway","None",30,"18:04","Urban","Fine no high winds"
2015950000016,55.959227,-3.215187,"Unclassified",0,"B",900,2015950000016,"Slight","None","31/12/2015","Thursday",2,"Give way or uncontrolled","T or staggered junction","","Darkness - lights lit","Edinburgh, City of","Edinburgh, City of",324230,674690,1,1,"None within 50 metres ","No physical crossing facilities within 50 metres","Lothian and Borders","Wet or damp","Single carriageway","None",30,"17:25","Urban","Unknown"
2015950000025,55.937057,-3.391232,"Unclassified",0,"Unclassified",0,2015950000025,"Slight","None","29/12/2015","Tuesday",1,"Give way or uncontrolled","Other junction","","Darkness - lights lit","Edinburgh, City of","Edinburgh, City of",313190,672430,1,2,"None within 50 metres ","No physical crossing facilities within 50 metres","Lothian and Borders","Wet or damp","Single carriageway","None",30,"17:00","Rural","Fine no high winds"
2015950000030,55.932337,-3.196417,"Unclassified",0,,0,2015950000030,"Slight","None","05/01/2015","Monday",1,"Data missing or out of range","Not at junction or within 20 metres","","Daylight","Edinburgh, City of","Edinburgh, City of",325350,671677,1,3,"None within 50 metres ","No physical crossing facilities within 50 metres","Lothian and Borders","Dry","Single carriageway","None",20,"15:05","Urban","Fine no high winds"
2015950000040,55.966624,-3.358648,"Unclassified",0,,0,2015950000040,"Slight","None","06/01/2015","Tuesday",1,"Data missing or out of range","Not at junction or within 20 metres","","Daylight","Edinburgh, City of","Edinburgh, City of",315290,675680,2,1,"None within 50 metres ","No physical crossing facilities within 50 metres","Lothian and Borders","Wet or damp","Single carriageway","None",50,"15:59","Rural","Other"
2015950000041,55.975519,-3.230441,"Unclassified",0,"Unclassified",0,2015950000041,"Slight","None","06/01/2015","Tuesday",1,"Give way or uncontrolled","Roundabout","","Darkness - lights lit","Edinburgh, City of","Edinburgh, City of",323310,676520,1,2,"None within 50 metres ","No physical crossing facilities within 50 metres","Lothian and Borders","Wet or damp","Roundabout","None",30,"20:00","Urban","Fine no high winds"
2015950000047,55.949514,-3.206876,"A",702,,0,2015950000047,"Slight","None","06/01/2015","Tuesday",1,"Data missing or out of range","Not at junction or within 20 metres","","Darkness - lights lit","Edinburgh, City of","Edinburgh, City of",324730,673600,1,1,"None within 50 metres ","Pelican, puffin, toucan or similar non-junction pedestrian light crossing","Lothian and Borders","Wet or damp","Single carriageway","None",30,"18:00","Urban","Fine + high winds"
2015950000048,55.942526,-3.293438,"A",8,"Unclassified",0,2015950000048,"Slight","None","07/01/2015","Wednesday",2,"Give way or uncontrolled","Roundabout","","Daylight","Edinburgh, City of","Edinburgh, City of",319310,672920,1,2,"None within 50 metres ","No physical crossing facilities within 50 metres","Lothian and Borders","Wet or damp","Single carriageway","None",30,"14:00","Urban","Raining + high winds"
2015950000053,55.956869,-3.199096,"C",0,"Unclassified",0,2015950000053,"Slight","None","08/01/2015","Thursday",1,"Give way or uncontrolled","Crossroads","","Daylight","Edinburgh, City of","Edinburgh, City of",325230,674410,1,2,"None within 50 metres ","No physical crossing facilities within 50 metres","Lothian and Borders","Wet or damp","Single carriageway","None",30,"08:30","Urban","Other"
2015950000055,55.929549,-3.262435,"A",71,"Unclassified",0,2015950000055,"Serious","None","08/01/2015","Thursday",1,"Give way or uncontrolled","Crossroads","","Daylight","Edinburgh, City of","Edinburgh, City of",321220,671440,2,2,"None within 50 metres ","No physical crossing facilities within 50 metres","Lothian and Borders","Dry","Dual carriageway","None",40,"08:30","Urban","Fine + high winds"
2015950000056,55.925715,-3.311123,"A",720,,0,2015950000056,"Serious","None","07/01/2015","Wednesday",1,"Data missing or out of range","Not at junction or within 20 metres","","Daylight","Edinburgh, City of","Edinburgh, City of",318170,671070,1,1,"None within 50 metres ","No physical crossing facilities within 50 metres","Lothian and Borders","Wet or damp","Slip road","None",50,"11:00","Urban","Fine + high winds"
2015950000057,55.924352,-3.27843,"A",71,,0,2015950000057,"Slight","None","07/01/2015","Wednesday",1,"Data missing or out of range","Not at junction or within 20 metres","","Darkness - lights lit","Edinburgh, City of","Edinburgh, City of",320210,670880,1,2,"None within 50 metres ","No physical crossing facilities within 50 metres","Lothian and Borders","Wet or damp","Dual carriageway","None",40,"19:30","Urban","Fine no high winds"
2015950000067,55.927556,-3.315507,"A",720,,0,2015950000067,"Slight","None","08/01/2015","Thursday",1,"Data missing or out of range","Not at junction or within 20 metres","","Darkness - lights lit","Edinburgh, City of","Edinburgh, City of",317900,671280,2,2,"None within 50 metres ","No physical crossing facilities within 50 metres","Lothian and Borders","Wet or damp","Dual carriageway","None",50,"17:30","Urban","Fine no high winds"
2015950000081,55.950062,-3.187516,"A",7,"C",0,2015950000081,"Slight","None","09/01/2015","Friday",1,"Auto traffic signal","Crossroads","","Daylight","Edinburgh, City of","Edinburgh, City of",325940,673640,1,1,"None within 50 metres ","Pedestrian phase at traffic signal junction","Lothian and Borders","Wet or damp","Single carriageway","None",30,"12:15","Urban","Raining no high winds"
